Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-Jan-17,01,997.60,"1,110.97",34.13,34.86,0.00,-0.73,35.77,36.53,0.00,-0.76,34,32
1-Jan-17,02,949.80,"1,064.01",32.91,33.72,0.00,-0.81,36.26,37.02,0.00,-0.76,34,32
1-Jan-17,03,920.70,"1,025.41",31.60,32.40,0.00,-0.80,35.06,35.79,0.00,-0.73,35,32
1-Jan-17,04,908.20,"1,020.88",25.23,25.88,0.00,-0.65,33.23,34.04,0.00,-0.81,34,32
1-Jan-17,05,892.30,"1,034.40",28.97,29.65,0.00,-0.68,34.52,35.36,0.00,-0.84,35,32
1-Jan-17,06,976.20,"1,052.38",31.95,32.54,0.00,-0.59,33.54,34.31,0.00,-0.77,35,32
1-Jan-17,07,"1,007.40","1,089.93",32.00,32.45,0.00,-0.45,33.68,34.44,0.00,-0.76,34,32
1-Jan-17,08,"1,131.60","1,152.03",33.56,33.91,0.00,-0.35,32.33,33.07,0.00,-0.74,34,31
1-Jan-17,09,"1,191.30","1,229.47",38.16,38.37,0.00,-0.21,23.61,24.16,0.00,-0.55,34,31
1-Jan-17,10,"1,258.50","1,280.88",40.55,40.75,0.00,-0.20,25.44,26.01,0.00,-0.57,35,31
1-Jan-17,11,"1,283.00","1,308.20",33.57,33.53,0.00,0.04,16.76,17.01,0.00,-0.25,37,31
1-Jan-17,12,"1,272.10","1,315.36",33.47,33.41,0.00,0.06,23.99,24.36,0.00,-0.37,39,29
1-Jan-17,13,"1,257.70","1,311.75",33.31,33.42,0.00,-0.11,27.64,28.13,0.00,-0.49,40,26
1-Jan-17,14,"1,249.30","1,295.21",34.05,34.11,0.00,-0.06,28.34,28.93,0.00,-0.59,41,24
1-Jan-17,15,"1,261.70","1,287.62",33.27,33.41,0.00,-0.14,20.81,21.30,0.00,-0.49,41,22
1-Jan-17,16,"1,288.90","1,308.14",33.60,33.56,0.00,0.04,27.89,28.59,0.00,-0.70,41,21
1-Jan-17,17,"1,477.30","1,423.74",39.84,39.47,0.00,0.37,32.20,32.80,0.00,-0.60,39,20
1-Jan-17,18,"1,509.10","1,518.59",64.01,63.38,0.00,0.63,42.04,42.63,0.00,-0.59,37,19
1-Jan-17,19,"1,457.70","1,486.47",53.49,52.93,0.00,0.56,44.17,44.83,0.00,-0.66,35,17
1-Jan-17,20,"1,434.90","1,431.33",50.31,49.88,0.00,0.43,37.54,38.26,0.00,-0.72,34,17
1-Jan-17,21,"1,375.70","1,352.08",46.93,46.66,0.00,0.27,36.13,36.93,0.00,-0.80,28,17
1-Jan-17,22,"1,255.90","1,265.31",45.61,45.87,0.00,-0.26,36.34,37.36,0.00,-1.02,31,16
1-Jan-17,23,"1,150.80","1,180.97",35.61,36.03,0.00,-0.42,30.42,31.50,0.00,-1.08,29,16
1-Jan-17,24,"1,045.10","1,122.53",32.94,33.50,0.00,-0.56,-67.28,-69.45,0.00,2.17,26,16
2-Jan-17,01,"1,012.70","1,068.42",32.99,33.73,0.00,-0.74,18.49,19.28,0.00,-0.79,23,16
2-Jan-17,02,979.50,"1,059.65",33.01,33.71,0.00,-0.70,32.77,34.02,0.00,-1.25,24,17
2-Jan-17,03,949.30,"1,052.80",32.13,32.92,0.00,-0.79,28.77,29.72,0.00,-0.95,22,16
2-Jan-17,04,953.30,"1,063.92",32.13,32.76,0.00,-0.63,27.18,28.04,0.00,-0.86,19,14
2-Jan-17,05,985.90,"1,086.19",32.25,32.74,0.00,-0.49,30.24,31.06,0.00,-0.82,21,16
2-Jan-17,06,"1,076.40","1,151.16",33.35,33.61,0.00,-0.26,33.83,34.57,0.00,-0.74,20,16
2-Jan-17,07,"1,185.20","1,240.97",33.49,33.65,0.00,-0.16,37.74,38.45,0.00,-0.71,18,14
2-Jan-17,08,"1,328.00","1,324.90",35.04,34.90,0.00,0.14,36.20,36.80,0.00,-0.60,18,15
2-Jan-17,09,"1,382.50","1,387.08",42.97,42.60,0.00,0.37,39.26,39.75,0.00,-0.49,20,15
2-Jan-17,10,"1,401.70","1,428.59",51.58,50.98,0.00,0.60,52.69,53.05,0.00,-0.36,23,16
2-Jan-17,11,"1,407.20","1,438.61",44.14,43.61,0.00,0.53,51.21,51.31,0.00,-0.10,31,18
2-Jan-17,12,"1,371.50","1,421.93",46.98,46.42,0.00,0.56,46.47,46.50,0.00,-0.03,35,20
2-Jan-17,13,"1,363.50","1,402.94",43.99,43.54,0.00,0.45,46.90,46.94,0.00,-0.04,35,18
2-Jan-17,14,"1,339.60","1,385.41",46.09,45.77,0.00,0.32,50.92,51.08,0.00,-0.16,37,22
2-Jan-17,15,"1,344.40","1,367.34",43.79,43.49,0.00,0.30,40.24,40.39,0.00,-0.15,37,24
2-Jan-17,16,"1,360.00","1,386.15",49.97,49.58,0.00,0.39,43.82,43.98,0.00,-0.16,38,25
2-Jan-17,17,"1,548.90","1,505.43",58.84,57.62,0.00,1.22,52.28,52.37,0.00,-0.09,37,25
2-Jan-17,18,"1,623.80","1,611.91",73.27,71.69,0.00,1.58,74.76,74.55,0.00,0.21,32,25
2-Jan-17,19,"1,590.20","1,588.32",67.13,65.95,0.00,1.18,59.66,59.57,0.00,0.09,28,23
2-Jan-17,20,"1,529.20","1,533.02",63.82,62.65,0.00,1.17,58.68,58.68,0.00,0.00,28,24
2-Jan-17,21,"1,418.80","1,453.96",52.40,51.85,0.00,0.55,44.10,44.10,0.00,0.00,27,23
2-Jan-17,22,"1,293.30","1,344.12",43.21,43.13,0.00,0.08,38.37,38.46,0.00,-0.09,26,23
2-Jan-17,23,"1,182.70","1,232.41",41.51,41.44,0.00,0.07,33.55,33.82,0.00,-0.27,26,22
2-Jan-17,24,"1,082.70","1,159.84",33.40,33.71,0.00,-0.31,29.14,29.51,0.00,-0.37,24,22
3-Jan-17,01,"1,075.10","1,101.51",35.08,35.44,0.00,-0.36,30.67,31.11,0.00,-0.44,26,23
3-Jan-17,02,"1,033.80","1,065.68",33.32,33.72,0.00,-0.40,15.61,15.87,0.00,-0.26,30,25
3-Jan-17,03,"1,009.50","1,056.92",33.05,33.48,0.00,-0.43,22.03,22.39,0.00,-0.36,30,25
3-Jan-17,04,"1,002.80","1,059.14",33.01,33.45,0.00,-0.44,32.72,32.91,0.24,-0.43,30,25
3-Jan-17,05,"1,045.50","1,094.93",33.48,33.81,0.00,-0.33,34.11,34.23,0.25,-0.37,31,26
3-Jan-17,06,"1,160.80","1,213.88",36.59,36.52,0.00,0.07,30.06,30.04,0.23,-0.21,32,27
3-Jan-17,07,"1,351.70","1,387.37",40.36,40.03,0.00,0.33,38.13,38.01,0.07,0.05,32,27
3-Jan-17,08,"1,459.00","1,462.83",45.45,44.78,0.00,0.67,67.70,67.44,0.01,0.25,32,28
3-Jan-17,09,"1,495.40","1,474.90",44.22,43.68,0.00,0.54,44.08,44.11,0.12,-0.15,33,28
3-Jan-17,10,"1,477.30","1,481.65",59.00,58.26,0.00,0.74,42.95,43.13,0.16,-0.34,33,28
3-Jan-17,11,"1,483.70","1,484.80",45.85,45.27,0.00,0.58,41.55,41.78,0.02,-0.25,34,29
3-Jan-17,12,"1,469.60","1,488.31",45.37,44.94,0.00,0.43,43.28,43.65,0.00,-0.37,35,32
3-Jan-17,13,"1,462.40","1,477.21",43.64,43.35,0.00,0.29,42.28,42.72,0.00,-0.44,39,33
3-Jan-17,14,"1,450.90","1,474.86",42.71,42.52,0.00,0.19,41.87,42.28,0.00,-0.41,39,33
3-Jan-17,15,"1,456.00","1,453.95",41.16,40.97,0.00,0.19,41.75,42.19,0.00,-0.44,39,33
3-Jan-17,16,"1,474.00","1,477.88",42.81,42.47,0.00,0.34,43.20,43.49,0.00,-0.29,39,33
3-Jan-17,17,"1,580.60","1,570.72",47.09,46.65,0.00,0.44,52.85,53.15,0.00,-0.30,36,34
3-Jan-17,18,"1,607.40","1,621.55",74.06,73.38,0.00,0.68,47.81,48.09,0.00,-0.28,37,35
3-Jan-17,19,"1,581.70","1,597.28",50.12,49.68,0.00,0.44,54.80,55.31,0.00,-0.51,37,35
3-Jan-17,20,"1,519.30","1,543.28",43.71,43.39,0.00,0.32,44.00,44.55,0.00,-0.55,38,36
3-Jan-17,21,"1,418.10","1,461.07",39.53,39.62,0.00,-0.09,38.98,39.48,0.00,-0.50,38,36
3-Jan-17,22,"1,286.00","1,336.65",34.45,34.86,0.00,-0.41,36.01,36.73,0.00,-0.72,37,35
3-Jan-17,23,"1,158.50","1,234.78",32.47,32.73,0.00,-0.26,31.61,32.40,0.00,-0.79,36,34
3-Jan-17,24,"1,035.30","1,150.38",31.83,31.85,0.00,-0.02,31.43,32.26,0.00,-0.83,35,34
4-Jan-17,01,894.00,"1,090.45",28.56,29.40,0.00,-0.84,27.69,28.59,0.00,-0.90,35,33
4-Jan-17,02,906.50,"1,080.10",18.90,19.41,0.00,-0.51,31.13,32.20,0.00,-1.07,34,33
4-Jan-17,03,931.40,"1,066.58",13.72,14.07,0.00,-0.35,27.13,28.08,0.00,-0.95,34,32
4-Jan-17,04,942.70,"1,077.36",13.73,14.07,0.00,-0.34,28.19,29.13,0.00,-0.94,34,32
4-Jan-17,05,928.30,"1,108.69",28.79,29.44,0.00,-0.65,28.98,29.81,0.00,-0.83,33,31
4-Jan-17,06,"1,068.70","1,218.44",31.47,31.91,0.00,-0.44,29.46,30.03,0.00,-0.57,32,30
4-Jan-17,07,"1,233.20","1,360.89",37.25,37.32,0.00,-0.07,31.05,31.27,0.00,-0.22,32,30
4-Jan-17,08,"1,369.20","1,442.59",41.57,41.46,0.00,0.11,42.84,42.97,0.00,-0.13,33,30
4-Jan-17,09,"1,412.20","1,463.38",38.15,38.29,0.00,-0.14,42.16,42.22,0.00,-0.06,33,31
4-Jan-17,10,"1,416.60","1,481.31",38.75,38.80,0.00,-0.05,38.96,39.00,0.00,-0.04,34,31
4-Jan-17,11,"1,409.40","1,464.20",40.82,40.74,0.00,0.08,39.31,39.29,0.00,0.02,36,33
4-Jan-17,12,"1,377.80","1,445.63",37.19,37.18,0.00,0.01,37.50,37.43,0.00,0.07,39,34
4-Jan-17,13,"1,324.60","1,445.22",33.95,34.10,0.00,-0.15,37.03,37.02,0.00,0.01,42,35
4-Jan-17,14,"1,318.30","1,433.57",33.31,33.55,0.00,-0.24,36.40,36.47,0.00,-0.07,43,35
4-Jan-17,15,"1,335.20","1,420.04",33.34,33.55,0.00,-0.21,35.46,35.66,0.00,-0.20,44,35
4-Jan-17,16,"1,370.00","1,444.58",36.79,36.95,0.00,-0.16,34.76,34.94,0.00,-0.18,44,35
4-Jan-17,17,"1,495.70","1,529.37",41.01,40.90,0.00,0.11,39.08,39.19,0.00,-0.11,43,35
4-Jan-17,18,"1,549.10","1,606.99",49.86,49.58,0.00,0.28,60.83,61.01,0.00,-0.18,42,36
4-Jan-17,19,"1,509.20","1,595.29",40.84,40.82,0.00,0.02,45.52,45.63,0.00,-0.11,42,35
4-Jan-17,20,"1,453.50","1,548.00",41.16,41.33,0.00,-0.17,45.32,45.43,0.00,-0.11,42,33
4-Jan-17,21,"1,340.40","1,468.98",39.34,39.28,0.00,0.06,38.39,38.57,0.07,-0.25,41,27
4-Jan-17,22,"1,224.70","1,371.19",37.76,38.02,0.00,-0.26,34.38,34.75,0.02,-0.39,39,24
4-Jan-17,23,"1,092.90","1,248.31",35.91,36.75,0.00,-0.84,34.36,35.03,0.00,-0.67,38,15
4-Jan-17,24,966.30,"1,179.87",33.21,33.43,0.00,-0.22,38.29,38.94,0.00,-0.65,35,20
5-Jan-17,01,951.10,"1,126.79",33.05,33.88,0.00,-0.83,31.48,32.18,0.00,-0.70,33,13
5-Jan-17,02,942.80,"1,104.10",32.69,33.61,0.00,-0.92,15.83,16.29,0.00,-0.46,31,12
5-Jan-17,03,933.40,"1,103.37",29.70,30.57,0.02,-0.89,-14.48,-14.99,0.01,0.50,30,11
5-Jan-17,04,936.20,"1,103.76",28.36,29.15,0.02,-0.81,-10.84,-11.21,0.04,0.33,29,8
5-Jan-17,05,970.50,"1,145.72",32.46,33.37,0.00,-0.91,13.26,13.66,0.04,-0.44,28,5
5-Jan-17,06,"1,098.10","1,267.26",35.80,36.66,0.00,-0.86,16.02,16.44,0.02,-0.44,27,4
5-Jan-17,07,"1,292.00","1,440.93",40.78,41.39,0.00,-0.61,35.44,36.21,0.00,-0.77,26,5
5-Jan-17,08,"1,446.70","1,525.27",44.94,45.93,0.01,-1.00,46.12,47.14,0.00,-1.02,25,5
5-Jan-17,09,"1,459.10","1,525.91",44.42,45.30,0.01,-0.89,39.99,41.07,0.00,-1.08,25,6
5-Jan-17,10,"1,444.90","1,541.18",42.24,43.04,0.01,-0.81,38.13,38.96,0.00,-0.83,26,5
5-Jan-17,11,"1,354.30","1,514.06",52.77,53.85,0.01,-1.09,47.27,48.25,0.02,-1.00,28,5
5-Jan-17,12,"1,336.10","1,509.35",51.06,52.16,0.01,-1.11,46.49,47.63,0.05,-1.19,29,6
5-Jan-17,13,"1,321.50","1,501.16",50.70,51.82,0.01,-1.13,44.62,45.84,0.00,-1.22,30,6
5-Jan-17,14,"1,308.90","1,500.77",50.49,51.56,0.01,-1.08,43.04,44.24,0.00,-1.20,32,8
5-Jan-17,15,"1,326.10","1,489.44",49.01,49.98,0.01,-0.98,41.85,43.06,0.00,-1.21,31,7
5-Jan-17,16,"1,363.20","1,504.18",50.90,51.97,0.01,-1.08,44.34,45.52,0.00,-1.18,31,6
