Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-Jan-16,01,933.90,"1,102.71",39.83,40.79,0.02,-0.98,32.67,33.51,0.00,-0.84,35,30
1-Jan-16,02,897.30,"1,056.04",35.30,36.30,0.02,-1.02,34.42,35.38,0.00,-0.96,33,28
1-Jan-16,03,907.20,"1,026.56",30.00,30.83,0.02,-0.85,29.89,30.73,0.00,-0.84,34,27
1-Jan-16,04,913.30,"1,015.98",29.49,30.29,0.00,-0.80,17.98,18.58,0.00,-0.60,33,26
1-Jan-16,05,933.80,"1,018.52",29.56,30.40,0.00,-0.84,8.64,8.94,0.00,-0.30,32,26
1-Jan-16,06,"1,016.80","1,058.35",30.95,31.68,0.00,-0.73,17.61,18.14,0.00,-0.53,32,26
1-Jan-16,07,"1,061.80","1,110.86",36.37,36.73,0.00,-0.36,30.39,31.03,0.00,-0.64,31,25
1-Jan-16,08,"1,105.40","1,168.63",41.82,42.26,0.00,-0.44,14.88,15.14,0.00,-0.26,32,25
1-Jan-16,09,"1,173.10","1,235.29",40.83,41.40,0.00,-0.57,25.89,26.38,0.00,-0.49,31,24
1-Jan-16,10,"1,253.20","1,308.08",41.67,42.52,0.00,-0.85,28.79,29.29,0.00,-0.50,34,25
1-Jan-16,11,"1,265.40","1,359.45",42.09,42.92,0.00,-0.83,24.79,25.24,0.00,-0.45,37,25
1-Jan-16,12,"1,256.40","1,371.26",42.52,43.57,0.00,-1.05,33.83,34.51,0.00,-0.68,38,26
1-Jan-16,13,"1,226.30","1,364.03",41.99,42.81,0.00,-0.82,34.80,35.55,0.00,-0.75,40,24
1-Jan-16,14,"1,196.20","1,352.68",42.09,42.92,0.00,-0.83,38.33,39.15,0.00,-0.82,40,25
1-Jan-16,15,"1,161.10","1,343.91",42.00,42.95,0.00,-0.95,35.39,36.25,0.00,-0.86,39,25
1-Jan-16,16,"1,182.10","1,371.25",46.00,47.44,0.00,-1.44,34.47,35.25,0.00,-0.78,39,25
1-Jan-16,17,"1,385.40","1,461.32",46.94,47.70,0.00,-0.76,35.31,36.04,0.00,-0.73,38,25
1-Jan-16,18,"1,429.80","1,517.88",63.29,64.50,0.00,-1.21,35.50,36.18,0.00,-0.68,38,25
1-Jan-16,19,"1,432.90","1,480.54",51.39,52.41,0.00,-1.02,48.41,49.60,0.00,-1.19,37,25
1-Jan-16,20,"1,417.30","1,437.53",44.88,45.64,0.00,-0.76,34.52,35.31,0.00,-0.79,36,25
1-Jan-16,21,"1,286.60","1,379.30",57.21,58.13,0.00,-0.92,36.36,36.93,0.00,-0.57,36,25
